provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;47;2;30;28047002_30_59;2022;9;1;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.3;V;0.7;V;0.4;V;0.5;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V
28;47;2;42;28047002_42_2;2022;9;1;1.2;V;1.2;V;1.3;V;1.3;V;1.4;V;1.5;V;1.5;V;1.4;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V
28;47;2;44;28047002_44_2;2022;9;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;47;2;431;28047002_431_59;2022;9;1;0.2;V;0.2;V;0.3;V;0.4;V;0.6;V;1.1;V;2;V;1.7;V;1.9;V;0.4;V;0.3;V;0.4;V;0.4;V;0.3;V;0.2;V;0.5;V;0.4;V;0.4;V;0.4;V;0.6;V;0.5;V;0.3;V;0.2;V;0.2;V
28;49;3;7;28049003_7_8;2022;9;1;1;V;1;V;2;V;1;V;2;V;20;V;32;V;26;V;11;V;9;V;11;V;7;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;49;3;8;28049003_8_8;2022;9;1;65;V;40;V;58;V;37;V;45;V;87;V;84;V;77;V;51;V;43;V;52;V;39;V;13;V;11;V;7;V;9;V;9;V;13;V;15;V;18;V;19;V;18;V;16;V;13;V
28;49;3;9;28049003_9_49;2022;9;1;10;V;12;V;12;V;11;V;9;V;8;V;14;V;12;V;14;V;12;V;16;V;19;V;21;V;18;V;7;V;4;V;5;V;4;V;2;V;5;V;4;V;6;V;6;V;6;V
28;49;3;10;28049003_10_49;2022;9;1;45;V;29;V;24;V;16;V;20;V;22;V;25;V;36;V;42;V;45;V;41;V;61;V;45;V;17;V;9;V;6;V;2;V;5;V;7;V;20;V;16;V;14;V;18;V;11;V
28;49;3;12;28049003_12_8;2022;9;1;67;V;42;V;61;V;39;V;49;V;118;V;133;V;117;V;68;V;58;V;68;V;50;V;16;V;15;V;9;V;12;V;12;V;15;V;17;V;20;V;21;V;20;V;18;V;15;V
28;49;3;14;28049003_14_6;2022;9;1;24;V;41;V;16;V;42;V;37;V;4;V;8;V;27;V;56;V;75;V;85;V;105;V;129;V;119;V;115;V;110;V;110;V;102;V;98;V;93;V;91;V;84;V;82;V;81;V
28;5;2;1;28005002_1_38;2022;9;1;2;V;2;V;3;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V
